model_name,history_hours,horizon_hour,quantile,success_rate_mean,success_rate_std,interval_ratio_mean,interval_ratio_std,iscore_mean,iscore_std,n_patients
TimesNet,3,1,95,0.8631644518272426,0.34369149628293894,1.3636136382400386,4.418910152679348,0.6632704695651496,12.027982745681992,9632
TimesNet,3,1,97,0.909468438538206,0.2869566985795117,1.748612384852814,5.7645413702870165,0.5146591994444422,8.726562781780679,9632
TimesNet,3,1,98,0.9272217607973422,0.2597856304827302,2.0925298475710403,7.1537847797257195,0.4174999383850747,6.800507913278152,9632
TimesNet,3,2,95,0.6597799003322259,0.47380765139349773,1.290542463267448,3.770225745581021,0.44928932049906173,10.262451711438285,9632
TimesNet,3,2,97,0.7039036544850499,0.4565577078158055,1.5790536420024595,4.71027480662501,0.35181332715657887,7.628623765976816,9632
TimesNet,3,2,98,0.7227990033222591,0.4476398193148136,1.7860813524971295,5.449133626092759,0.29623238437755045,6.494586601853111,9632
TimesNet,3,3,95,0.9288828903654485,0.25703370478828164,3.3678168720553825,15.203751058247251,0.3257888797146711,19.658720748172527,9632
TimesNet,3,3,97,0.950062292358804,0.21782759046014294,4.257413071170555,20.989299364964285,0.24483826418891905,13.503303140491216,9632
TimesNet,3,3,98,0.9583679401993356,0.19975728809747254,4.833982091533717,24.11738932163869,0.20519978854356818,10.838595182203544,9632
TimesNet,6,1,95,0.9682167235494881,0.17543198754092634,3.230396260200864,4.95440506707615,0.4040865665106606,3.4610821322153402,9376
TimesNet,6,1,97,0.9814419795221843,0.1349650441408135,3.790265507431972,5.826370531606361,0.3302551326359585,2.5607466746379908,9376
TimesNet,6,1,98,0.9882679180887372,0.1076832248104342,4.084503333262177,6.205061275750918,0.3004218558328472,2.104827138020392,9376
TimesNet,6,2,95,0.94464590443686,0.2286823064201176,3.133071571488923,4.2716918225063125,0.37180696569223814,2.977656716951553,9376
TimesNet,6,2,97,0.9637372013651877,0.18695329854318557,3.6602993095145337,4.996005541038954,0.3041671969936435,2.2056358008713493,9376
TimesNet,6,2,98,0.9722696245733788,0.1642080314362497,3.9468020332294214,5.307646999586778,0.27154580486421065,1.8528565187665118,9376
TimesNet,6,3,95,0.9299274744027304,0.2552828184703063,3.2312197146370463,4.215983620005965,0.3408243255210904,2.597846244123757,9376
TimesNet,6,3,97,0.9532849829351536,0.21103903525824405,3.81328186953512,4.916435186556042,0.2773111998232763,1.9330212444097243,9376
TimesNet,6,3,98,0.9619240614334471,0.19138983321844882,4.176300736402052,5.273092370670024,0.24181166362733195,1.5621965117295702,9376
TimesNet,12,1,95,0.8702272727272727,0.33607231534699766,1.794803007683501,2.4820239296244577,0.5131782265845902,4.009693034890646,8800
TimesNet,12,1,97,0.9126136363636363,0.2824164489105687,2.1915585533089943,3.015206022373931,0.4147023212211412,2.935995298035062,8800
TimesNet,12,1,98,0.9328409090909091,0.2503115406893726,2.5342547033214475,3.483569778980191,0.35172053189397867,2.3998645754849646,8800
TimesNet,12,2,95,0.8392045454545455,0.3673630523174573,2.1417478832479677,2.877766622160619,0.39808580619169637,3.0237208975885834,8800
TimesNet,12,2,97,0.8827272727272727,0.3217632664945631,2.5927016555291122,3.479932286215778,0.3212092074853139,2.263660961432975,8800
TimesNet,12,2,98,0.9069318181818182,0.2905444683495496,2.9677544663123427,3.984712519573794,0.2755413052853934,1.8409191265397944,8800
TimesNet,12,3,95,0.8970454545454546,0.3039167700100255,2.875640552802512,3.570061998640211,0.34475539284405876,2.2072856004421926,8800
TimesNet,12,3,97,0.9301136363636363,0.2549698948385222,3.432141003857608,4.270033018994082,0.28080630229069237,1.6331379493630545,8800
TimesNet,12,3,98,0.9470454545454545,0.22395548915498414,3.9002181352451406,4.866549391007573,0.24160734127597924,1.3200227194324572,8800
TimesNet,21,1,95,0.8932711693548387,0.30878763284546346,1.1811602842853326,1.1098392037773643,0.8302668616342475,3.3837438367749186,7936
TimesNet,21,1,97,0.9170866935483871,0.2757685129969231,1.4215901645125417,1.34759420378689,0.6485452542047275,2.515696759972896,7936
TimesNet,21,1,98,0.9397681451612904,0.23793089744303123,1.62263910577308,1.5471307786969017,0.5638698717794058,2.0348496177068376,7936
TimesNet,21,2,95,0.9081401209677419,0.2888462476487782,1.7123380045963839,1.7297932401758482,0.5984875709690701,2.31335811400242,7936
TimesNet,21,2,97,0.9301915322580645,0.2548400066105126,2.0200463454297894,2.0552426217227238,0.4772342502177161,1.748044365523072,7936
TimesNet,21,2,98,0.9517389112903226,0.21433092299645745,2.30025550953085,2.312701109748282,0.4180780374744286,1.395451258485535,7936
TimesNet,21,3,95,0.9136844758064516,0.2808470996371442,2.084679851711988,2.154972108491025,0.5001940576921242,2.0586950885913793,7936
TimesNet,21,3,97,0.9333417338709677,0.2494449483514639,2.4827133887850326,2.5663859449022417,0.3927577740968794,1.5130340379051193,7936
TimesNet,21,3,98,0.953125,0.21138440065274322,2.8180035033278736,2.8581021311435597,0.3434017503092234,1.2080295938454952,7936
