,unique_id,ds,TimeGPT
0,00ed-01_01_7763,2020-01-01 21:00:00,8.11457
1,00ed-01_01_7763,2020-01-01 22:00:00,8.07779
2,00ed-01_01_7763,2020-01-01 23:00:00,8.062046
3,00ed-01_01_7764,2020-01-01 22:00:00,8.098016
4,00ed-01_01_7764,2020-01-01 23:00:00,8.0827675
5,00ed-01_01_7764,2020-01-02 00:00:00,8.093782
6,00ed-01_01_7765,2020-01-01 23:00:00,7.961487
7,00ed-01_01_7765,2020-01-02 00:00:00,7.9627743
8,00ed-01_01_7765,2020-01-02 01:00:00,7.9495096
9,00ed-01_01_7766,2020-01-02 00:00:00,7.852515
10,00ed-01_01_7766,2020-01-02 01:00:00,7.8420124
11,00ed-01_01_7766,2020-01-02 02:00:00,7.850365
12,00ed-01_01_7767,2020-01-02 01:00:00,7.5475097
13,00ed-01_01_7767,2020-01-02 02:00:00,7.569587
14,00ed-01_01_7767,2020-01-02 03:00:00,7.6040087
15,00ed-01_01_7768,2020-01-02 02:00:00,7.2811
16,00ed-01_01_7768,2020-01-02 03:00:00,7.30573
17,00ed-01_01_7768,2020-01-02 04:00:00,7.344031
18,00ed-01_01_7769,2020-01-02 03:00:00,7.001755
19,00ed-01_01_7769,2020-01-02 04:00:00,6.956919
20,00ed-01_01_7769,2020-01-02 05:00:00,6.9069915
21,00ed-01_01_7770,2020-01-02 04:00:00,7.054989
22,00ed-01_01_7770,2020-01-02 05:00:00,6.9658403
23,00ed-01_01_7770,2020-01-02 06:00:00,6.905383
24,00ed-01_01_7771,2020-01-02 05:00:00,7.2355733
25,00ed-01_01_7771,2020-01-02 06:00:00,7.150611
26,00ed-01_01_7771,2020-01-02 07:00:00,7.0733356
27,00ed-01_01_7772,2020-01-02 06:00:00,7.55629
28,00ed-01_01_7772,2020-01-02 07:00:00,7.5404606
29,00ed-01_01_7772,2020-01-02 08:00:00,7.4998283
30,00ed-01_01_7773,2020-01-02 07:00:00,6.690337
31,00ed-01_01_7773,2020-01-02 08:00:00,6.672739
32,00ed-01_01_7773,2020-01-02 09:00:00,6.6821136
33,00ed-01_01_7774,2020-01-02 08:00:00,5.7594857
34,00ed-01_01_7774,2020-01-02 09:00:00,5.7751675
35,00ed-01_01_7774,2020-01-02 10:00:00,5.8086033
36,00ed-01_01_7775,2020-01-02 09:00:00,5.524268
37,00ed-01_01_7775,2020-01-02 10:00:00,5.5145597
38,00ed-01_01_7775,2020-01-02 11:00:00,5.490389
39,00ed-01_01_7776,2020-01-02 10:00:00,7.1238036
40,00ed-01_01_7776,2020-01-02 11:00:00,7.140566
41,00ed-01_01_7776,2020-01-02 12:00:00,7.158146
42,00ed-01_01_7777,2020-01-02 11:00:00,7.5202875
43,00ed-01_01_7777,2020-01-02 12:00:00,7.502748
44,00ed-01_01_7777,2020-01-02 13:00:00,7.4617386
45,00ed-01_01_7778,2020-01-02 12:00:00,7.8803425
46,00ed-01_01_7778,2020-01-02 13:00:00,7.8229995
47,00ed-01_01_7778,2020-01-02 14:00:00,7.7755756
48,00ed-01_01_7779,2020-01-02 13:00:00,8.200583
49,00ed-01_01_7779,2020-01-02 14:00:00,8.108312
50,00ed-01_01_7779,2020-01-02 15:00:00,8.023863
51,00ed-01_01_7780,2020-01-02 14:00:00,8.415691
52,00ed-01_01_7780,2020-01-02 15:00:00,8.325352
53,00ed-01_01_7780,2020-01-02 16:00:00,8.267652
54,00ed-01_01_7781,2020-01-02 15:00:00,8.75497
55,00ed-01_01_7781,2020-01-02 16:00:00,8.682033
56,00ed-01_01_7781,2020-01-02 17:00:00,8.673025
57,00ed-01_01_7782,2020-01-02 16:00:00,9.109187
58,00ed-01_01_7782,2020-01-02 17:00:00,8.989881
59,00ed-01_01_7782,2020-01-02 18:00:00,8.947019
60,00ed-01_01_7783,2020-01-02 17:00:00,9.422279
61,00ed-01_01_7783,2020-01-02 18:00:00,9.342319
62,00ed-01_01_7783,2020-01-02 19:00:00,9.319394
63,00ed-01_01_7784,2020-01-02 18:00:00,9.808693
64,00ed-01_01_7784,2020-01-02 19:00:00,9.658796
65,00ed-01_01_7784,2020-01-02 20:00:00,9.606595
66,00ed-01_01_7785,2020-01-02 19:00:00,10.274662
67,00ed-01_01_7785,2020-01-02 20:00:00,10.084173
68,00ed-01_01_7785,2020-01-02 21:00:00,10.034376
69,00ed-01_01_7786,2020-01-02 20:00:00,9.064226
70,00ed-01_01_7786,2020-01-02 21:00:00,8.911589
71,00ed-01_01_7786,2020-01-02 22:00:00,8.839507
72,00ed-01_02_7787,2020-01-02 21:00:00,8.150044
73,00ed-01_02_7787,2020-01-02 22:00:00,8.103828
74,00ed-01_02_7787,2020-01-02 23:00:00,8.043376
75,0202-01_01_15960,2020-01-01 21:00:00,7.8102756
76,0202-01_01_15960,2020-01-01 22:00:00,7.8610015
77,0202-01_01_15960,2020-01-01 23:00:00,7.9346833
78,0202-01_01_15961,2020-01-01 22:00:00,7.3507466
79,0202-01_01_15961,2020-01-01 23:00:00,7.472294
80,0202-01_01_15961,2020-01-02 00:00:00,7.6158404
81,0202-01_01_15962,2020-01-01 23:00:00,5.282662
82,0202-01_01_15962,2020-01-02 00:00:00,5.510639
83,0202-01_01_15962,2020-01-02 01:00:00,5.7516446
84,0202-01_01_15963,2020-01-02 00:00:00,9.0497055
85,0202-01_01_15963,2020-01-02 01:00:00,9.171996
86,0202-01_01_15963,2020-01-02 02:00:00,9.278807
87,0202-01_01_15964,2020-01-02 01:00:00,8.078081
88,0202-01_01_15964,2020-01-02 02:00:00,8.031792
89,0202-01_01_15964,2020-01-02 03:00:00,8.075596
90,0202-01_01_15965,2020-01-02 02:00:00,8.734815
91,0202-01_01_15965,2020-01-02 03:00:00,8.724872
92,0202-01_01_15965,2020-01-02 04:00:00,8.723905
93,0202-01_01_15966,2020-01-02 03:00:00,9.37463
94,0202-01_01_15966,2020-01-02 04:00:00,9.340874
95,0202-01_01_15966,2020-01-02 05:00:00,9.316446
96,0202-01_01_15967,2020-01-02 04:00:00,9.19588
97,0202-01_01_15967,2020-01-02 05:00:00,9.1388645
98,0202-01_01_15967,2020-01-02 06:00:00,9.093913
99,0202-01_01_15968,2020-01-02 05:00:00,8.924278
100,0202-01_01_15968,2020-01-02 06:00:00,8.844061
101,0202-01_01_15968,2020-01-02 07:00:00,8.801797
102,0202-01_01_15969,2020-01-02 06:00:00,9.437027
103,0202-01_01_15969,2020-01-02 07:00:00,9.374582
104,0202-01_01_15969,2020-01-02 08:00:00,9.309113
105,0202-01_01_15970,2020-01-02 07:00:00,9.9892025
106,0202-01_01_15970,2020-01-02 08:00:00,9.92256
107,0202-01_01_15970,2020-01-02 09:00:00,9.889277
108,0202-01_01_15971,2020-01-02 08:00:00,9.568613
109,0202-01_01_15971,2020-01-02 09:00:00,9.469993
110,0202-01_01_15971,2020-01-02 10:00:00,9.420141
111,0202-01_01_15972,2020-01-02 09:00:00,8.883659
112,0202-01_01_15972,2020-01-02 10:00:00,8.818993
113,0202-01_01_15972,2020-01-02 11:00:00,8.789875
114,0202-01_01_15973,2020-01-02 10:00:00,8.997739
115,0202-01_01_15973,2020-01-02 11:00:00,9.006084
116,0202-01_01_15973,2020-01-02 12:00:00,9.066785
117,0202-01_01_15974,2020-01-02 11:00:00,9.178393
118,0202-01_01_15974,2020-01-02 12:00:00,9.176215
119,0202-01_01_15974,2020-01-02 13:00:00,9.23293
120,0202-01_01_15975,2020-01-02 12:00:00,8.779687
121,0202-01_01_15975,2020-01-02 13:00:00,8.759793
122,0202-01_01_15975,2020-01-02 14:00:00,8.8061495
123,0202-01_01_15976,2020-01-02 13:00:00,8.844909
124,0202-01_01_15976,2020-01-02 14:00:00,8.866397
125,0202-01_01_15976,2020-01-02 15:00:00,8.945546
126,0202-01_01_15977,2020-01-02 14:00:00,8.381098
127,0202-01_01_15977,2020-01-02 15:00:00,8.416732
128,0202-01_01_15977,2020-01-02 16:00:00,8.467133
129,0202-01_01_15978,2020-01-02 15:00:00,8.156676
130,0202-01_01_15978,2020-01-02 16:00:00,8.175614
131,0202-01_01_15978,2020-01-02 17:00:00,8.214498
132,0202-01_01_15979,2020-01-02 16:00:00,8.965537
133,0202-01_01_15979,2020-01-02 17:00:00,8.972088
134,0202-01_01_15979,2020-01-02 18:00:00,9.01253
135,0202-01_01_15980,2020-01-02 17:00:00,9.799035
136,0202-01_01_15980,2020-01-02 18:00:00,9.784559
137,0202-01_01_15980,2020-01-02 19:00:00,9.77323
138,0202-01_01_15981,2020-01-02 18:00:00,10.236888
139,0202-01_01_15981,2020-01-02 19:00:00,10.147922
140,0202-01_01_15981,2020-01-02 20:00:00,10.064605
141,0202-01_01_15982,2020-01-02 19:00:00,9.238583
142,0202-01_01_15982,2020-01-02 20:00:00,9.132355
143,0202-01_01_15982,2020-01-02 21:00:00,9.075937
144,0202-01_01_15983,2020-01-02 20:00:00,9.16296
145,0202-01_01_15983,2020-01-02 21:00:00,9.077587
146,0202-01_01_15983,2020-01-02 22:00:00,9.018598
147,0202-01_02_15984,2020-01-02 21:00:00,9.636738
148,0202-01_02_15984,2020-01-02 22:00:00,9.562019
149,0202-01_02_15984,2020-01-02 23:00:00,9.512542
150,0202-01_02_15985,2020-01-02 22:00:00,10.091835
151,0202-01_02_15985,2020-01-02 23:00:00,9.9916
152,0202-01_02_15985,2020-01-03 00:00:00,9.94205
153,0202-01_02_15986,2020-01-02 23:00:00,9.702556
154,0202-01_02_15986,2020-01-03 00:00:00,9.621706
155,0202-01_02_15986,2020-01-03 01:00:00,9.599636
156,0202-01_02_15987,2020-01-03 00:00:00,8.823181
157,0202-01_02_15987,2020-01-03 01:00:00,8.828398
158,0202-01_02_15987,2020-01-03 02:00:00,8.831807
159,0202-01_02_15988,2020-01-03 01:00:00,8.937263
160,0202-01_02_15988,2020-01-03 02:00:00,8.984682
161,0202-01_02_15988,2020-01-03 03:00:00,9.057211
162,0202-01_02_15989,2020-01-03 02:00:00,9.03799
163,0202-01_02_15989,2020-01-03 03:00:00,9.088408
164,0202-01_02_15989,2020-01-03 04:00:00,9.193572
165,0202-01_02_15990,2020-01-03 03:00:00,8.731581
166,0202-01_02_15990,2020-01-03 04:00:00,8.782137
167,0202-01_02_15990,2020-01-03 05:00:00,8.873448
168,0202-01_02_15991,2020-01-03 04:00:00,8.213298
169,0202-01_02_15991,2020-01-03 05:00:00,8.293271
170,0202-01_02_15991,2020-01-03 06:00:00,8.388767
171,0202-01_02_15992,2020-01-03 05:00:00,7.718931
172,0202-01_02_15992,2020-01-03 06:00:00,7.804059
173,0202-01_02_15992,2020-01-03 07:00:00,7.8912315
174,0202-01_02_15993,2020-01-03 06:00:00,7.2798223
175,0202-01_02_15993,2020-01-03 07:00:00,7.363442
176,0202-01_02_15993,2020-01-03 08:00:00,7.465362
177,0202-01_02_15994,2020-01-03 07:00:00,6.825047
178,0202-01_02_15994,2020-01-03 08:00:00,6.929242
179,0202-01_02_15994,2020-01-03 09:00:00,7.0544457
180,0202-01_02_15995,2020-01-03 08:00:00,7.2455792
181,0202-01_02_15995,2020-01-03 09:00:00,7.3685403
182,0202-01_02_15995,2020-01-03 10:00:00,7.513344
183,0202-01_02_15996,2020-01-03 09:00:00,8.117184
